seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr14	120478271	120478759	489	*	X0416	76108	120478444	120507194	28751	+	0	overlapStart	0	Rap2a
chr14	120911098	120911578	481	*	X0417	70572	120911224	120947999	36776	+	0	overlapStart	0	Ipo5
chr14	121797543	121797957	415	*	X0420	105445	121542046	121797837	255792	-	0	overlapStart	0	Dock9
chr14	122475204	122475996	793	*	X0422	22772	122475435	122479852	4418	+	0	overlapStart	0	Zic2
chr14	122475204	122475996	793	*	X0422	69248	122470284	122475199	4916	-	4	upstream	4	2610035F20Rik
chr15	9071438	9071748	311	*	X0424	68646	9071260	9110891	39632	+	0	inside	177	Nadk2
chr15	12117957	12118563	607	*	X0425	22763	12117831	12185683	67853	+	0	inside	125	Zfr
chr15	26308809	26309531	723	*	X0427	211147	26309048	26409576	100529	+	0	overlapStart	0	Marchf11
chr15	28025272	28025950	679	*	X0428	223435	27730651	28025848	295198	-	0	overlapStart	0	Trio
chr15	30172416	30173105	690	*	X0429	18163	30172593	31029341	856749	+	0	overlapStart	0	Ctnnd2
chr15	31530670	31531311	642	*	X0430	223455	31455891	31531053	75163	-	0	overlapStart	0	Marchf6
chr15	37233902	37234511	610	*	X0432	105245924	37231793	37233309	1517	-	592	upstream	592	Gm16136
chr15	38078345	38078889	545	*	X0433	70790	37967328	38078854	111527	-	0	overlapStart	0	Ubr5
chr15	39005993	39006327	335	*	X0435	14368	39006034	39038188	32155	+	0	overlapStart	0	Fzd6
chr15	39197446	39197955	510	*	X0436	116838	39198261	39684372	486112	+	305	upstream	305	Rims2
chr15	39943742	39944094	353	*	X0437	239393	39870589	39943994	73406	-	0	overlapStart	0	Lrp12
chr15	41447217	41447571	355	*	X0438	170719	41447482	41861048	413567	+	0	overlapStart	0	Oxr1
chr15	52040256	52040628	373	*	X0439	239435	52040107	52045722	5616	+	0	inside	148	Aard
chr15	53345969	53346361	393	*	X0440	14042	53064038	53346159	282122	-	0	overlapStart	0	Ext1
chr15	58823005	58823419	415	*	X0441	74868	58782269	58823530	41262	-	0	inside	110	Tmem65
chr15	64060076	64060434	359	*	X0443	223601	63929097	64060478	131382	-	0	inside	43	Cyrib
chr15	66285967	66286729	763	*	X0444	110862	65986387	66286642	300256	-	0	overlapStart	0	Kcnq3
chr15	68928159	68928676	518	*	X0446	13992	68928420	69101211	172792	+	0	overlapStart	0	Khdrbs3
chr15	72546804	72546989	186	*	X0447	223604	72501089	72546340	45252	-	463	upstream	463	Kcnk9
chr15	73184548	73185102	555	*	X0448	239528	73095844	73184935	89092	-	0	overlapStart	0	Ago2
chr15	73422865	73423179	315	*	X0449	14083	73205102	73423280	218179	-	0	inside	100	Ptk2
chr15	73839426	73839890	465	*	X0452	268816	73760067	73839699	79633	-	0	overlapStart	0	Mroh5
chr15	74516284	74516791	508	*	X0453	107831	74516195	74589465	73271	+	0	inside	88	Adgrb1
chr15	75566581	75566994	414	*	X0458	23934	75551268	75567255	15988	-	0	inside	260	Ly6h
chr15	75747273	75748277	1005	*	X0459	378435	75745490	75748228	2739	-	0	overlapStart	0	Mafa
chr15	76009365	76009761	397	*	X0460	432964	76009888	76046981	37094	+	126	upstream	126	Iqank1
chr15	76069266	76069639	374	*	X0461	105782	76047158	76069784	22627	-	0	inside	144	Scrib
chr15	76457665	76458050	386	*	X0463	20289	76457520	76459449	1930	+	0	inside	144	Scx
chr15	76522230	76522521	292	*	X0464	170729	76516203	76522499	6297	-	0	overlapStart	0	Scrt1
chr15	76817861	76818200	340	*	X0466	223666	76723985	76818170	94186	-	0	overlapStart	0	Arhgap39
chr15	78718306	78718894	589	*	X0468	207393	78667331	78718771	51441	-	0	overlapStart	0	Elfn2
chr15	79804326	79804773	448	*	X0471	73340	79786351	79804766	18416	-	0	overlapStart	0	Nptxr
chr15	79834115	79834349	235	*	X0472	504193	79789262	79834325	45064	-	0	overlapStart	0	Npcd
chr15	79834395	79834428	34	*	X0473	494448	79823896	79834688	10793	-	0	inside	259	Cbx6
chr15	79834395	79834428	34	*	X0473	504193	79789262	79834325	45064	-	69	upstream	69	Npcd
chr15	80173237	80173773	537	*	X0474	17309	80173721	80215519	41799	+	0	overlapStart	0	Mgat3
chr15	80287128	80287582	455	*	X0475	239556	80287238	80398279	111042	+	0	overlapStart	0	Cacna1i
chr15	80671588	80672061	474	*	X0476	213956	80671847	80700425	28579	+	0	overlapStart	0	Fam83f
chr15	81745278	81745620	343	*	X0478	19387	81704248	81745530	41283	-	0	overlapStart	0	Rangap1
chr15	81745278	81745620	343	*	X0478	20286	81745057	81796260	51204	+	0	inside	220	Zc3h7b
chr15	83724705	83725141	437	*	X0480	64706	83604999	83725021	120023	-	0	overlapStart	0	Scube1
chr15	83779666	83780580	915	*	X0481	223726	83779467	83858494	79028	+	0	inside	198	Mpped1
chr15	84105404	84105844	441	*	X0482	29859	84076097	84105754	29658	-	0	overlapStart	0	Sult4a1
chr15	84855897	84856316	420	*	X0484	271305	84785381	84856049	70669	-	0	overlapStart	0	Phf21b
chr15	85821530	85821871	342	*	X0487	18766	85814670	85821734	7065	-	0	overlapStart	0	Pkdrej
chr15	86033334	86033920	587	*	X0488	12614	85898929	86033777	134849	-	0	overlapStart	0	Celsr1
chr15	87543988	87545112	1125	*	X0489	106014	87544299	87759364	215066	+	0	overlapStart	0	Tafa5
chr15	88751655	88752005	351	*	X0492	223773	88751660	88784516	32857	+	0	overlapStart	0	Zbed4
chr15	89499229	89500097	869	*	X0494	58234	89499623	89560261	60639	+	0	overlapStart	0	Shank3
chr15	91049644	91050013	370	*	X0496	16564	90933276	91049948	116673	-	0	overlapStart	0	Kif21a
chr15	91572600	91572996	397	*	X0497	239606	91267696	91573261	305566	-	0	inside	264	Slc2a13
chr15	94628955	94629468	514	*	X0500	320709	94629232	95096098	466867	+	0	overlapStart	0	Tmem117
chr15	95527978	95528308	331	*	X0501	54003	95075230	95528559	453330	-	0	inside	250	Nell2
chr15	96286743	96286863	121	*	X0503	77044	96287518	96404992	117475	+	654	upstream	654	Arid2
chr15	96287178	96287681	504	*	X0504	77044	96287518	96404992	117475	+	0	overlapStart	0	Arid2
chr15	96460501	96460945	445	*	X0505	72193	96411699	96460843	49145	-	0	overlapStart	0	Scaf11
chr15	97247228	97247624	397	*	X0506	105827	97244125	97247287	3163	-	0	overlapStart	0	Amigo2
chr15	97247228	97247624	397	*	X0506	239647	97247107	97385680	138574	+	0	inside	120	Pced1b
chr15	99224547	99224965	419	*	X0511	16512	99224861	99242817	17957	+	0	overlapStart	0	Kcnh3
chr15	99590616	99591495	880	*	X0514	11830	99590782	99594829	4048	+	0	overlapStart	0	Aqp5
chr15	99670530	99670949	420	*	X0515	11419	99670368	99701130	30763	+	0	inside	161	Asic1
chr15	100038657	100038993	337	*	X0516	239667	100038664	100219473	180810	+	0	overlapStart	0	Dip2b
chr15	100636545	100636909	365	*	X0517	207818	100621339	100636940	15602	-	0	inside	30	Smagp
chr15	101052531	101054149	1619	*	X0520	668225	101050194	101054399	4206	-	0	inside	249	Fignl2
chr15	101173893	101174293	401	*	X0522	11479	101174067	101213684	39618	+	0	overlapStart	0	Acvr1b
chr15	102921105	102921507	403	*	X0525	15422	102921103	102928814	7712	+	0	inside	1	Hoxc13
chr16	4420085	4420598	514	*	X0526	11515	4287529	4420498	132970	-	0	overlapStart	0	Adcy9
chr16	4594696	4595022	327	*	X0527	83396	4594713	4624924	30212	+	0	overlapStart	0	Glis2
chr16	11984271	11984687	417	*	X0529	72555	11984113	12270902	286790	+	0	inside	157	Shisa9
chr16	18877131	18877455	325	*	X0537	18100	18872018	18876862	4845	-	268	upstream	268	Mrpl40
chr16	20621247	20621560	314	*	X0538	73047	20619215	20621287	2073	-	0	overlapStart	0	Camk2n2
chr16	22163125	22163451	327	*	X0540	319765	22059009	22163299	104291	-	0	overlapStart	0	Igf2bp2
chr16	32643834	32644412	579	*	X0545	51789	32643874	32683493	39620	+	0	overlapStart	0	Tnk2
chr16	34572999	34573436	438	*	X0546	545156	33969073	34573532	604460	-	0	inside	95	Kalrn
chr16	35154689	35155096	408	*	X0547	224129	35154877	35305738	150862	+	0	overlapStart	0	Adcy5
chr16	37868298	37868754	457	*	X0550	320184	37868389	37888858	20470	+	0	overlapStart	0	Lrrc58
chr16	43979616	43980027	412	*	X0551	332175	43965033	43979791	14759	-	0	overlapStart	0	Zdhhc23
chr16	64852318	64852633	316	*	X0553	72020	64780347	64851652	71306	-	665	upstream	665	Zfp654
chr16	67620591	67621083	493	*	X0554	239857	66655421	67620908	965488	-	0	overlapStart	0	Cadm2
chr16	77013747	77014265	519	*	X0556	30940	77013706	77116780	103075	+	0	inside	40	Usp25
chr16	81200539	81200935	397	*	X0558	17968	81200697	81626828	426132	+	0	overlapStart	0	Ncam2
chr16	90385910	90386764	855	*	X0559	26559	90386013	90499553	113541	+	0	overlapStart	0	Hunk
chr16	94569869	94570591	723	*	X0562	13548	94570010	94695517	125508	+	0	overlapStart	0	Dyrk1a
chr16	97170322	97170701	380	*	X0563	13508	96590840	97170752	579913	-	0	inside	50	Dscam
chr16	97851325	97851819	495	*	X0564	114604	97791467	97851850	60384	-	0	inside	30	Prdm15
chr17	3114861	3115583	723	*	X0565	106583	3114972	3198859	83888	+	0	overlapStart	0	Scaf8
chr17	4994023	4994831	809	*	X0566	239985	4994332	5347656	353325	+	0	overlapStart	0	Arid1b
chr17	5841095	5841613	519	*	X0568	66616	5841329	5931954	90626	+	0	overlapStart	0	Snx9
chr17	6106666	6107027	362	*	X0569	68842	6106479	6251128	144650	+	0	inside	186	Tulp4
chr17	12769210	12769724	515	*	X0571	16004	12682406	12769664	87259	-	0	overlapStart	0	Igf2r
chr17	13760182	13761025	844	*	X0573	17356	13760539	13906150	145612	+	0	overlapStart	0	Afdn
chr17	14961353	14961389	37	*	X0574	72057	14945009	14961273	16265	-	79	upstream	79	Phf10
chr17	17826950	17827510	561	*	X0575	75202	17827158	17843009	15852	+	0	overlapStart	0	Spaca6
chr17	24488574	24489071	498	*	X0577	268932	24488601	24508671	20071	+	0	overlapStart	0	Caskin1
chr17	25717359	25717688	330	*	X0578	64337	25717171	25719406	2236	+	0	inside	187	Gng13
chr17	26200996	26201465	470	*	X0579	50782	26202951	26211324	8374	+	1485	upstream	1485	Rgs11
chr17	26200996	26201465	470	*	X0579	69191	26195999	26199087	3089	-	1908	upstream	1908	Pdia2
chr17	26414774	26415182	409	*	X0580	240055	26414829	26446349	31521	+	0	overlapStart	0	Neurl1b
chr17	27203853	27204408	556	*	X0582	224640	27189600	27204469	14870	-	0	inside	60	Lemd2
chr17	27556465	27556531	67	*	X0584	111241	27556663	27563034	6372	+	131	upstream	131	Hmga1b
chr17	27556465	27556531	67	*	X0584	15361	27556497	27563674	7178	+	0	overlapStart	0	Hmga1
chr17	27556579	27557369	791	*	X0585	111241	27556663	27563034	6372	+	0	overlapStart	0	Hmga1b
chr17	27556579	27557369	791	*	X0585	15361	27556497	27563674	7178	+	0	inside	81	Hmga1
chr17	28622063	28622458	396	*	X0587	20815	28587648	28622709	35062	-	0	inside	250	Srpk1
chr17	29237960	29238332	373	*	X0588	240058	29155556	29238167	82612	-	0	overlapStart	0	Cpne5
chr17	29490702	29491150	449	*	X0589	18712	29490753	29496112	5360	+	0	overlapStart	0	Pim1
chr17	30004943	30005360	418	*	X0591	21769	30004733	30210828	206096	+	0	inside	209	Zfand3
chr17	31564892	31565476	585	*	X0592	18771	31564734	31607693	42960	+	0	inside	157	Pknox1
chr17	31855601	31855855	255	*	X0593	17691	31844250	31855804	11555	-	0	overlapStart	0	Sik1
chr17	34031888	34032235	348	*	X0594	14977	34026034	34031682	5649	-	205	upstream	205	Slc39a7
chr17	34031888	34032235	348	*	X0594	20182	34031812	34038399	6588	+	0	inside	75	Rxrb
chr17	34898327	34899097	771	*	X0597	110147	34898469	34914052	15584	+	0	overlapStart	0	Ehmt2
chr17	35979765	35980132	368	*	X0598	14670	35979851	35989462	9612	+	0	overlapStart	0	Gnl1
chr17	35979765	35980132	368	*	X0598	75210	35972541	35980236	7696	-	0	inside	103	Prr3
chr17	47736980	47737306	327	*	X0601	21425	47737030	47792419	55390	+	0	overlapStart	0	Tfeb
chr17	50190132	50190663	532	*	X0602	76438	49992257	50190674	198418	-	0	inside	10	Rftn1
chr17	50508914	50509730	817	*	X0605	224860	50509403	50688484	179082	+	0	overlapStart	0	Plcl2
chr17	51832334	51833305	972	*	X0607	20230	51736187	51833290	97104	-	0	overlapStart	0	Satb1
chr17	53567144	53567544	401	*	X0608	18519	53566861	53672720	105860	+	0	inside	282	Kat2b
chr17	55445655	55445986	332	*	X0609	240119	55445382	55514581	69200	+	0	inside	272	St6gal2
chr17	56140037	56140431	395	*	X0610	20359	56123085	56140343	17259	-	0	overlapStart	0	Sema6b
chr17	56476220	56476589	370	*	X0613	19280	56412426	56476483	64058	-	0	overlapStart	0	Ptprs
chr17	56935223	56935564	342	*	X0615	64144	56892611	56935415	42805	-	0	overlapStart	0	Mllt1
chr17	57031005	57031408	404	*	X0616	16549	57021051	57031522	10472	-	0	inside	113	Khsrp
chr17	63499291	63500279	989	*	X0618	50758	63057452	63500017	442566	-	0	overlapStart	0	Fbxl17
chr17	65612821	65613423	603	*	X0619	30960	65578327	65613555	35229	-	0	inside	131	Vapa
chr17	66076480	66076836	357	*	X0620	106585	65965698	66077089	111392	-	0	inside	252	Ankrd12
chr17	66448807	66449468	662	*	X0621	68617	66336982	66449750	112769	-	0	inside	281	Mtcl1
chr17	66519405	66519741	337	*	X0622	19328	66494512	66519729	25218	-	0	overlapStart	0	Rab12
chr17	67354322	67354733	412	*	X0623	19274	66666947	67354457	687511	-	0	overlapStart	0	Ptprm
chr17	69383200	69383983	784	*	X0627	22666	69383050	69391199	8150	+	0	inside	149	Zbtb14
chr17	69968994	69969925	932	*	X0628	224997	69969073	70821413	852341	+	0	overlapStart	0	Dlgap1
chr17	74294990	74295546	557	*	X0630	76890	74199036	74295521	96486	-	0	overlapStart	0	Memo1
chr17	74338811	74339144	334	*	X0631	50850	74338987	74391115	52129	+	0	overlapStart	0	Spast
chr17	75005764	75006264	501	*	X0632	268977	75005568	75392512	386945	+	0	inside	195	Ltbp1
chr17	79895429	79895969	541	*	X0634	56298	79848390	79896123	47734	-	0	inside	153	Atl2
chr17	80373046	80373840	795	*	X0635	791338	80373218	80373541	324	-	0	includeFeature	0	Gm10190
chr17	80479974	80480299	326	*	X0636	20662	80393751	80480453	86703	-	0	inside	153	Sos1
chr17	80727939	80728254	316	*	X0637	225028	80580512	80728485	147974	-	0	inside	230	Map4k3
chr17	83215033	83215930	898	*	X0638	106522	83215292	83225070	9779	+	0	overlapStart	0	Pkdcc
chr17	83631372	83632147	776	*	X0639	225030	83585957	83631895	45939	-	0	overlapStart	0	Kcng3
chr17	83706008	83706342	335	*	X0640	116871	83706163	83821516	115354	+	0	overlapStart	0	Mta3
chr17	85687768	85688427	660	*	X0643	20472	85684277	85688274	3998	-	0	overlapStart	0	Six2
chr17	87796982	87797701	720	*	X0646	210741	87745801	87797994	52194	-	0	inside	292	Kcnk12
chr17	88064956	88065426	471	*	X0647	225055	87990859	88065291	74433	-	0	overlapStart	0	Fbxo11
chr18	5591981	5592730	750	*	X0649	21417	5591860	5775467	183608	+	0	inside	120	Zeb1
chr18	11054162	11054819	658	*	X0651	68434	10987944	11052567	64624	-	1594	upstream	1594	Gata6os
chr18	11839616	11840053	438	*	X0652	621998	11820671	11839377	18707	-	238	upstream	238	Gm6277
chr18	16809178	16809510	333	*	X0653	12558	16588877	16809246	220370	-	0	overlapStart	0	Cdh2
chr18	20745844	20746148	305	*	X0654	56386	20684599	20746404	61806	-	0	inside	255	B4galt6
chr18	36196627	36197123	497	*	X0658	100042150	36017652	36197380	179729	-	0	inside	256	Nrg2
chr18	38211593	38212052	460	*	X0659	75599	38185914	38212053	26140	-	0	inside	0	Pcdh1
chr18	46741850	46742265	416	*	X0661	11777	46741876	46790826	48951	+	0	overlapStart	0	Ap3s1
chr18	46741850	46742265	416	*	X0661	67526	46730144	46741580	11437	-	269	upstream	269	Atg12
chr18	51117543	51117869	327	*	X0662	71373	51117733	51420044	302312	+	0	overlapStart	0	Prr16
chr18	57878318	57879174	857	*	X0664	20496	57878678	57946821	68144	+	0	overlapStart	0	Slc12a2
chr18	58659306	58659728	423	*	X0665	66307	58659466	58680368	20903	+	0	overlapStart	0	Isoc1
chr18	59175323	59176006	684	*	X0666	78923	59175401	59535999	360599	+	0	overlapStart	0	Chsy3
chr18	60748199	60748510	312	*	X0667	15531	60684494	60748650	64157	-	0	inside	139	Ndst1
chr18	61035608	61036463	856	*	X0668	12590	61018862	61036199	17338	-	0	overlapStart	0	Cdx1
chr18	62922260	62922671	412	*	X0669	494504	62922231	62961179	38949	+	0	inside	28	Apcdd1
chr18	67610582	67610912	331	*	X0672	68166	67488209	67610790	122582	-	0	overlapStart	0	Spire1
chr18	73572966	73573474	509	*	X0674	240396	73573044	73592575	19532	+	0	overlapStart	0	Mex3c
chr18	77564981	77565584	604	*	X0678	225743	77456110	77565161	109052	-	0	overlapStart	0	Rnf165
chr18	79109556	79109951	396	*	X0681	240427	78750380	79109391	359012	-	164	upstream	164	Setbp1
chr18	80986451	80987479	1029	*	X0683	20689	80966376	80986771	20396	-	0	overlapStart	0	Sall3
chr18	82692432	82692944	513	*	X0684	329002	82593593	82692883	99291	-	0	overlapStart	0	Zfp236
chr18	84720057	84720366	310	*	X0686	240479	84720019	84740436	20418	+	0	inside	37	Dipk1c
chr19	3686264	3686748	485	*	X0689	16973	3584828	3686564	101737	-	0	overlapStart	0	Lrp5
chr19	4398281	4398712	432	*	X0692	225876	4314419	4398285	83867	-	0	overlapStart	0	Kdm2a
chr19	4614785	4615490	706	*	X0693	225875	4611785	4615667	3883	-	0	inside	176	Lrfn4
chr19	5424712	5425069	358	*	X0695	107242	5425144	5427313	2170	+	74	upstream	74	AI837181
chr19	5424712	5425069	358	*	X0695	66556	5422805	5424979	2175	-	0	overlapStart	0	Drap1
chr19	5425088	5425401	314	*	X0696	107242	5425144	5427313	2170	+	0	overlapStart	0	AI837181
chr19	5425088	5425401	314	*	X0696	66556	5422805	5424979	2175	-	108	upstream	108	Drap1
chr19	5567782	5568193	412	*	X0697	381201	5568025	5571261	3237	+	0	overlapStart	0	Ap5b1
chr19	6921447	6921784	338	*	X0700	26379	6910977	6921813	10837	-	0	inside	28	Esrra
chr19	7056789	7057111	323	*	X0701	107227	7056810	7198057	141248	+	0	overlapStart	0	Macrod1
chr19	7417687	7418086	400	*	X0704	108899	7417625	7425904	8280	+	0	inside	61	2700081O15Rik
chr19	7422329	7422984	656	*	X0705	102466781	7422573	7422642	70	+	0	includeFeature	0	Mir6991
chr19	10388889	10389575	687	*	X0706	54525	10389090	10453180	64091	+	0	overlapStart	0	Syt7
chr19	10457158	10457489	332	*	X0707	278795	10455371	10457473	2103	-	0	overlapStart	0	Lrrc10b
chr19	16132355	16133673	1319	*	X0709	14682	16132831	16387463	254633	+	0	overlapStart	0	Gnaq
chr19	18670893	18671289	397	*	X0711	67383	18670764	18707200	36437	+	0	inside	128	Carnmt1
chr19	18713186	18713488	303	*	X0712	225995	18713193	18718428	5236	+	0	overlapStart	0	D030056L22Rik
chr19	21272556	21272942	387	*	X0713	22682	21272278	21286840	14563	+	0	inside	277	Zfand5
chr19	23758509	23759068	560	*	X0714	319924	23758887	23949596	190710	+	0	overlapStart	0	Apba1
chr19	24030552	24031084	533	*	X0716	381217	23972750	24031019	58270	-	0	overlapStart	0	Fam189a2
chr19	24555777	24556319	543	*	X0717	18719	24294794	24555872	261079	-	0	overlapStart	0	Pip5k1b
chr19	24999205	24999746	542	*	X0718	76088	24999534	25202432	202899	+	0	overlapStart	0	Dock8
chr19	25610517	25611430	914	*	X0719	240590	25610537	25623921	13385	+	0	overlapStart	0	Dmrt3
chr19	25673579	25674029	451	*	X0720	100503074	25671134	25672239	1106	-	1339	upstream	1339	2610016A17Rik
chr19	29251440	29252041	602	*	X0722	16452	29251828	29313080	61253	+	0	overlapStart	0	Jak2
chr19	29522106	29522635	530	*	X0723	226089	29522282	29606829	84548	+	0	overlapStart	0	Ric1
chr19	29805781	29806287	507	*	X0724	240613	29714402	29805989	91588	-	0	overlapStart	0	9930021J03Rik
chr19	30030491	30031039	549	*	X0725	109113	30030513	30093722	63210	+	0	overlapStart	0	Uhrf2
chr19	30174997	30175318	322	*	X0726	104174	30098447	30175429	76983	-	0	inside	110	Gldc
chr19	32387953	32388402	450	*	X0727	67188	32389216	32391190	1975	+	813	upstream	813	2700046G09Rik
chr19	36057179	36057851	673	*	X0729	15566	35958734	36057507	98774	-	0	overlapStart	0	Htr7
chr19	36348291	36348873	583	*	X0730	76073	36348309	36460970	112662	+	0	overlapStart	0	Pcgf5
chr19	37207541	37207850	310	*	X0731	69104	37207543	37222151	14609	+	0	overlapStart	0	Marchf5
chr19	40831095	40831604	510	*	X0734	240665	40831279	40848572	17294	+	0	overlapStart	0	Ccnj
chr19	41482450	41483373	924	*	X0735	212391	41482637	41586536	103900	+	0	overlapStart	0	Lcor
chr19	41829954	41830580	627	*	X0736	14296	41829970	41832583	2614	+	0	overlapStart	0	Frat1
chr19	41847445	41848168	724	*	X0737	212398	41845972	41848132	2161	-	0	overlapStart	0	Frat2
chr19	42090527	42090868	342	*	X0738	84095	42090470	42122087	31618	+	0	inside	56	Pi4k2a
chr19	42147479	42147885	407	*	X0739	277010	42147400	42151703	4304	+	0	inside	78	Marveld1
chr19	42431559	42432287	729	*	X0740	72832	42268287	42431785	163499	-	0	overlapStart	0	Crtac1
chr19	43440620	43441470	851	*	X0741	83674	43440436	43497210	56775	+	0	inside	183	Cnnm1
chr19	45150907	45151507	601	*	X0745	21908	45150680	45156943	6264	+	0	inside	226	Tlx1
chr19	45234999	45235757	759	*	X0747	16814	45232684	45235812	3129	-	0	inside	54	Lbx1
chr19	46044782	46045146	365	*	X0748	16825	46031570	46045214	13645	-	0	inside	67	Ldb1
chr19	46044782	46045146	365	*	X0748	226169	46044886	46072915	28030	+	0	overlapStart	0	Pprc1
chr19	47014769	47015435	667	*	X0751	226180	47014698	47025327	10630	+	0	inside	70	Ina
chr19	47014769	47015435	667	*	X0751	76952	46883317	47015153	131837	-	0	overlapStart	0	Nt5c2
chr19	47178802	47179362	561	*	X0752	18011	47178820	47259441	80622	+	0	overlapStart	0	Neurl1a
chr19	47464272	47464660	389	*	X0755	14218	47260174	47464401	204228	-	0	overlapStart	0	Sh3pxd2a
chr19	47579475	47580073	599	*	X0756	20874	47579678	47645246	65569	+	0	overlapStart	0	Slk
chr19	50678397	50678974	578	*	X0757	58178	50143299	50678646	535348	-	0	overlapStart	0	Sorcs1
chr19	53310562	53310992	431	*	X0758	17859	53310518	53375810	65293	+	0	inside	43	Mxi1
chr19	53945021	53945419	399	*	X0761	100503572	53929861	53944627	14767	-	393	upstream	393	Bbip1
chr19	56722118	56722655	538	*	X0764	11554	56722199	56725150	2952	+	0	overlapStart	0	Adrb1
chr19	57360966	57361345	380	*	X0766	226252	57360680	57389586	28907	+	0	inside	285	Fam160b1
chr19	57360966	57361345	380	*	X0766	320879	57323193	57360775	37583	-	190	upstream	190	B230217O12Rik
chr19	57360789	57360876	88	*	X0767	226252	57360680	57389586	28907	+	0	inside	108	Fam160b1
chr19	57360789	57360876	88	*	X0767	320879	57323193	57360775	37583	-	13	upstream	13	B230217O12Rik
chr19	59345664	59346119	456	*	X0769	107368	59297178	59345780	48603	-	0	overlapStart	0	Pdzd8
chr19	59459210	59459599	390	*	X0770	329078	59425104	59458635	33532	-	574	upstream	574	Emx2os
chr2	4717588	4718375	788	*	X0772	209645	4717831	4802142	84312	+	0	overlapStart	0	Bend7
chr2	18056585	18056902	318	*	X0776	102466840	18057846	18057903	58	+	943	upstream	943	Mir7655
chr2	18676336	18676721	386	*	X0777	12151	18677018	18686629	9612	+	296	upstream	296	Bmi1
chr2	18997998	18998350	353	*	X0778	18718	18842255	18998126	155872	-	0	overlapStart	0	Pip4k2a
chr2	18997998	18998350	353	*	X0778	74629	18998343	18999804	1462	+	0	overlapStart	0	4930426L09Rik
chr2	19446131	19446463	333	*	X0779	102637107	19441508	19446674	5167	-	0	inside	210	Ptf1aos
chr2	20968584	20969030	447	*	X0780	433408	20969054	20969997	944	+	23	upstream	23	Gm13375
chr2	20968584	20969030	447	*	X0780	71435	20847919	20968881	120963	-	0	overlapStart	0	Arhgap21
chr2	24949728	24950023	296	*	X0781	67187	24949792	24962075	12284	+	0	overlapStart	0	Zmynd19
chr2	25242049	25242415	367	*	X0782	67859	25238818	25242452	3635	-	0	inside	36	Cysrt1
chr2	25242049	25242415	367	*	X0782	68846	25242929	25244261	1333	+	513	upstream	513	Rnf208
chr2	25577189	25577526	338	*	X0783	75454	25570174	25575224	5051	-	1964	upstream	1964	Phpt1
chr2	25982826	25983289	464	*	X0784	227634	25926838	25983282	56445	-	0	overlapStart	0	Camsap1
chr2	26122434	26122835	402	*	X0785	67991	26055535	26122818	67284	-	0	overlapStart	0	Nacc2
chr2	28193033	28193414	382	*	X0786	56177	28192992	28230736	37745	+	0	inside	40	Olfm1
chr2	31245876	31246218	343	*	X0790	14299	31245823	31295989	50167	+	0	inside	52	Ncs1
chr2	32150971	32151512	542	*	X0791	227723	32151082	32234537	83456	+	0	overlapStart	0	Prrc2b
chr2	32712643	32713082	440	*	X0792	100499514	32712807	32712888	82	-	0	includeFeature	0	Mir2861
chr2	32712643	32713082	440	*	X0792	100628606	32712900	32712972	73	-	0	includeFeature	0	Mir3960
chr2	32712643	32713082	440	*	X0792	107951	32705784	32713076	7293	-	0	overlapStart	0	Cdk9
chr2	33640481	33640989	509	*	X0793	100504399	33641193	33646354	5162	+	203	upstream	203	C130021I20Rik
chr2	33640481	33640989	509	*	X0793	16917	33560965	33640511	79547	-	0	overlapStart	0	Lmx1b
chr2	37703492	37703672	181	*	X0797	20744	37483228	37703859	220632	-	0	inside	186	Strbp
chr2	44927025	44927458	434	*	X0802	227835	44564412	44927657	363246	-	0	inside	198	Gtdc1
chr2	49787558	49787955	398	*	X0803	71897	49787688	49948849	161162	+	0	overlapStart	0	Lypd6b
chr2	54436372	54436785	414	*	X0804	271786	54436317	55118309	681993	+	0	inside	54	Galnt13
chr2	58566800	58567635	836	*	X0805	11477	58388644	58567157	178514	-	0	overlapStart	0	Acvr1
chr2	58566800	58567635	836	*	X0805	76654	58567298	58792971	225674	+	0	overlapStart	0	Upp2
chr2	59611802	59612260	459	*	X0806	66860	59612042	59846149	234108	+	0	overlapStart	0	Tanc1
chr2	66124402	66124938	537	*	X0812	14425	66082766	66124994	42229	-	0	inside	55	Galnt3
chr2	68471565	68471978	414	*	X0814	53416	68210445	68472268	261824	-	0	inside	289	Stk39
chr2	70825448	70825751	304	*	X0816	228012	70712407	70825728	113322	-	0	overlapStart	0	Tlk1
chr2	72979690	72980189	500	*	X0819	100503849	72979424	72988677	9254	+	0	inside	265	Sp3os
chr2	72979690	72980189	500	*	X0819	20687	72936427	72980446	44020	-	0	inside	256	Sp3
chr2	73774988	73775309	322	*	X0821	108699	73610660	73775346	164687	-	0	inside	36	Chn1
chr2	74697817	74698688	872	*	X0823	15438	74697727	74700208	2482	+	0	inside	89	Hoxd9
chr2	74762934	74763463	530	*	X0825	102634678	74749862	74762896	13035	-	37	upstream	37	Haglr
chr2	74762934	74763463	530	*	X0825	15429	74762980	74765142	2163	+	0	overlapStart	0	Hoxd1
chr2	77280405	77280816	412	*	X0826	228071	77180340	77280592	100253	-	0	overlapStart	0	Sestd1
